pais,jogos_verao,ouro,prata,bronze,total_verao,jogos_inverno,ouro_1,prata_1,bronze_1,total_inverno,total_olimpiadas,total_ouro,total_prata,total_bronze,total_geral
AFG Afeganistão,14,0,0,2,2,0,0,0,0,0,14,0,0,2,2
RSA África do Sul,20,27,33,29,89,7,0,0,0,0,27,27,33,29,89
GER Alemanha[3][4],17,201,205,246,652,12,92,88,60,240,29,293,293,306,892
GDR Alemanha Oriental[5],5,153,129,127,409,6,39,36,35,110,11,192,165,162,519
FRG Alemanha Ocidental[3][5],5,56,67,81,204,7,11,15,13,39,12,67,82,94,243
EUA Equipa Alemã Unida[6],3,28,54,36,118,3,8,6,5,19,6,36,60,41,137
AHO Antilhas Neerlandesas,13,0,1,0,1,2,0,0,0,0,15,0,1,0,1
KSA Arábia Saudita,12,0,2,2,4,0,0,0,0,0,12,0,2,2,4
ALG Argélia,14,5,4,8,17,3,0,0,0,0,17,5,4,8,17
ARG Argentina,25,21,26,30,77,19,0,0,0,0,44,21,26,30,77
ARM Armênia,7,2,8,8,18,7,0,0,0,0,14,2,8,8,18
ANZ Australásia[7],2,3,4,5,12,0,0,0,0,0,2,3,4,5,12
AUS Austrália[8][3],27,164,173,210,547,19,5,5,5,15,46,169,178,215,562
AUT Áustria,28,19,34,41,94,23,64,81,87,232,51,83,115,128,326
AZE Azerbaijão,7,7,14,28,49,6,0,0,0,0,13,7,14,28,49
BAH Bahamas,17,8,2,6,16,0,0,0,0,0,17,8,2,6,16
BRN Bahrein,10,2,2,0,4,0,0,0,0,0,10,2,2,0,4
BAR Barbados[9],13,0,0,1,1,0,0,0,0,0,13,0,0,1,1
BLR Bielorrússia,7,13,30,42,85,7,8,5,5,18,14,21,35,47,103
BEL Bélgica,27,43,54,58,155,21,1,2,3,5,47,44,56,61,161
BER Bermudas,19,1,0,1,2,8,0,0,0,0,27,1,0,1,2
BOH Boêmia[3][10],3,0,1,3,4,0,0,0,0,0,3,0,1,3,4
BOT Botsuana,11,0,1,1,2,0,0,0,0,0,11,0,1,1,2
BRA Brasil,23,37,42,71,150,8,0,0,0,0,31,37,42,71,150
BWI Federação das Índias Ocidentais[11],1,0,0,2,2,0,0,0,0,0,1,0,0,2,2
BUL Bulgária,21,54,88,82,224,20,1,2,3,6,41,55,90,85,230
BUR Burquina Fasso,10,0,0,1,1,0,0,0,0,0,10,0,0,1,1
BDI Burundi,7,1,1,0,2,0,0,0,0,0,7,1,1,0,2
CMR Camarões,15,3,1,2,6,1,0,0,0,0,16,3,1,2,6
CAN Canadá,27,71,108,147,326,23,73,64,62,199,50,144,172,209,525
QAT Catar,10,2,1,5,8,0,0,0,0,0,10,2,1,5,8
KAZ Cazaquistão,7,15,21,36,72,7,1,3,4,8,14,16,24,40,80
TCH Checoslováquia[12],16,49,49,45,143,16,2,8,15,25,32,51,57,60,168
CHI Chile,24,2,7,4,13,17,0,0,0,0,41,2,7,4,13
CHN China[13],11,262,199,173,634,11,13,28,21,62,22,275,227,194,696
CYP Chipre,11,0,1,0,1,11,0,0,0,0,22,0,1,0,1
COL Colômbia,20,5,13,16,34,2,0,0,0,0,22,5,13,16,34
PRK Coreia do Norte,10,16,16,22,54,9,0,1,1,2,19,16,17,23,56
KOR Coreia do Sul,18,96,91,100,287,18,31,25,14,70,36,127,116,114,357
CRC Costa Rica,16,1,1,2,4,6,0,0,0,0,22,1,1,2,4
CIV Costa do Marfim,14,1,1,2,4,0,0,0,0,0,14,1,1,2,4
CRO Croácia,8,14,13,14,41,8,4,6,1,11,16,18,19,15,52
CUB Cuba[3],21,85,71,85,241,0,0,0,0,0,21,85,71,85,241
DEN Dinamarca[3],28,48,78,79,205,14,0,1,0,1,42,48,79,79,206
DJI Djibuti,9,0,0,1,1,0,0,0,0,0,9,0,0,1,1
EGY Egito[3][14],23,8,11,19,38,1,0,0,0,0,24,8,11,19,38
UAE Emirados Árabes Unidos,10,1,0,1,2,0,0,0,0,0,10,1,0,1,2
ECU Equador,15,3,2,0,5,1,0,0,0,0,16,3,2,0,5
ERI Eritreia,6,0,0,1,1,1,0,0,0,0,7,0,0,1,1
SVK Eslováquia,7,10,14,8,32,7,3,4,1,8,14,13,18,9,40
SLO Eslovênia,8,8,9,11,28,8,2,5,10,17,16,10,14,21,45
ESP Espanha[3],24,48,72,47,167,20,1,0,3,4,44,49,72,50,171
USA Estados Unidos[3],28,1061,836,739,2636,23,105,112,88,305,51,1166,948,827,2941
EST Estônia,13,10,9,17,36,10,4,2,1,7,23,14,11,18,43
ETH Etiópia,14,23,12,23,58,2,0,0,0,0,16,23,12,23,58
FIJ Fiji,15,2,0,1,3,3,0,0,0,0,18,2,0,1,3
PHI Filipinas,22,1,5,8,14,5,0,0,0,0,27,1,5,8,14
FIN Finlândia,26,101,85,119,305,23,43,63,61,167,49,144,148,180,472
FRA França[3],29,226,258,280,764,23,36,35,53,124,52,262,293,333,888
GAB Gabão,11,0,1,0,1,0,0,0,0,0,11,0,1,0,1
GHA Gana,15,0,1,4,5,2,0,0,0,0,17,0,1,4,5
GEO Geórgia,7,10,12,18,40,7,0,0,0,0,14,10,12,18,40
GBR Grã-Bretanha[3][15],29,285,316,315,916,23,11,4,17,32,52,296,320,332,948
GRN Granada,10,1,1,1,3,0,0,0,0,0,10,1,1,1,3
GRE Grécia,29,35,45,41,121,19,0,0,0,0,48,35,45,41,121
GUA Guatemala,15,0,1,0,1,1,0,0,0,0,16,0,1,0,1
GUY Guiana,18,0,0,1,1,0,0,0,0,0,18,0,0,1,1
HAI Haiti,16,0,1,1,2,0,0,0,0,0,16,0,1,1,2
HKG Hong Kong[16],17,2,3,4,9,5,0,0,0,0,22,2,3,4,9
HUN Hungria,27,181,154,176,511,23,1,2,4,7,50,182,156,180,518
ISV Ilhas Virgens Americanas,13,0,1,0,1,7,0,0,0,0,20,0,1,0,1
IND Índia,25,10,9,16,35,10,0,0,0,0,35,10,9,16,35
INA Indonésia,16,8,14,15,37,0,0,0,0,0,16,8,14,15,37
IRI Irã,17,24,23,29,76,11,0,0,0,0,28,24,23,29,76
IRQ Iraque,15,0,0,1,1,0,0,0,0,0,15,0,0,1,1
IRL Irlanda,22,11,10,14,35,7,0,0,0,0,29,11,10,14,35
ISL Islândia,21,0,2,2,4,18,0,0,0,0,39,0,2,2,4
